Date,Product,Units Sold,Revenue
2022-01-01,Product B,81.00274492007415,8225.285760614857
2022-01-02,Product A,80.13979910734221,3787.992520294889
2022-01-03,Product C,62.8767195030917,6206.808477194628
2022-01-04,Product A,89.79030400466777,8896.563714303682
2022-01-05,Product B,63.14166700043425,4952.080173547992
2022-01-06,Product D,77.57507710047305,2562.6030971388627
2022-01-07,Product B,82.69498852389472,3924.6689990511427
2022-01-08,Product B,62.2418175935532,5883.198247276719
2022-01-09,Product D,69.24948302848355,2770.9040764411625
2022-01-10,Product B,36.980788352644154,1492.2416204575436
2022-01-11,Product B,44.84808937801448,3591.5749066531052
2022-01-12,Product A,86.66874267444524,6894.205608910776
2022-01-13,Product A,101.44967713501283,6191.077621698557
2022-01-14,Product D,86.50963960443622,5453.699612020249
2022-01-15,Product A,78.76556963055766,1374.215133704507
2022-01-16,Product A,55.112501545435364,3401.3463224975503
2022-01-17,Product B,101.78880808455239,7067.232910250795
2022-01-18,Product C,62.195749114345766,1164.181379049991
2022-01-19,Product A,71.72082408519233,4134.146640114943
2022-01-20,Product C,83.44459559399574,8264.057207630982
2022-01-21,Product A,62.93553679742428,6040.800409029817
2022-01-22,Product A,89.03463635867223,6329.667888351621
2022-01-23,Product D,43.436492547156966,3726.8384380479883
2022-01-24,Product D,55.77746290402326,2950.571715588481
2022-01-25,Product D,75.53427115757474,2980.2420818295354
2022-01-26,Product C,50.18451996385605,5042.577263540897
2022-01-27,Product B,87.87141635072564,5903.496008350691
2022-01-28,Product A,101.81639756949451,8196.211704084963
2022-01-29,Product A,73.92027358683383,6822.102353612933
2022-01-30,Product A,112.79944138890026,5504.8393993423715
2022-01-31,Product C,76.77368307647619,4191.145138736922
2022-02-01,Product D,82.38715798671737,7439.424673724606
2022-02-02,Product B,92.23124077269657,5289.481281062609
2022-02-03,Product C,70.38910043684659,4761.895332394412
2022-02-04,Product D,53.62753845673544,5213.393314408678
2022-02-05,Product C,94.09661321916391,8647.742766522937
2022-02-06,Product B,84.24381746615242,3750.2632803135075
2022-02-07,Product D,38.172002690356635,2263.900221045295
2022-02-08,Product C,95.26177547531641,1596.6819898436427
2022-02-09,Product B,75.0941664047013,3493.626077025418
2022-02-10,Product A,56.01432426180859,912.4506491812838
2022-02-11,Product B,63.62969236690571,3016.0513470183478
2022-02-12,Product A,81.49357430878173,5171.239081192788
2022-02-13,Product C,62.12874616235304,2392.9724964959078
2022-02-14,Product D,47.07606075761131,3342.3507136717926
2022-02-15,Product D,65.36009230320184,934.491756897271
2022-02-16,Product C,63.48521627944827,842.2494464874941
2022-02-17,Product D,90.69049883588963,8311.061494313444
2022-02-18,Product D,60.704568257798385,2462.89971642459
2022-02-19,Product A,74.49761890550863,1607.1560793057313
2022-02-20,Product C,48.6105195313359,2904.707083182888
2022-02-21,Product B,59.92436337958402,5462.584328121958
2022-02-22,Product A,71.23228669431667,2259.87200724744
2022-02-23,Product C,103.55391225825755,6349.32762333442
2022-02-24,Product A,61.009171876243805,995.1603954448345
2022-02-25,Product B,83.22444755201448,1352.8004537332608
2022-02-26,Product B,57.99332305429226,3296.842582998892
2022-02-27,Product C,103.5138712337179,5638.601321945038
2022-02-28,Product B,67.30594718878629,5642.276002515228
2022-03-01,Product A,68.43360192379934,4752.37146413129
2022-03-02,Product B,59.37376241054153,6449.935114417997
2022-03-03,Product A,90.70598668593159,4805.403651190076
2022-03-04,Product A,91.36740843457483,3859.909582341076
2022-03-05,Product B,70.9511789933548,7241.392599090672
2022-03-06,Product C,36.72457562116837,1805.5944141412626
2022-03-07,Product D,51.48084946661382,2525.3596705054833
2022-03-08,Product B,57.59722501721482,940.9563126614313
2022-03-09,Product A,81.95683374895592,1108.579422321553
2022-03-10,Product A,59.38592458777374,5128.218862601477
2022-03-11,Product B,61.3847993773104,6631.965245372996
2022-03-12,Product C,66.33920201352683,4866.063664758526
2022-03-13,Product C,62.889838002375434,3498.3222127986974
2022-03-14,Product A,86.4816389219784,2373.955097914958
2022-03-15,Product A,83.47398671316414,1999.058695466177
2022-03-16,Product C,50.39586634716048,1910.185655601162
2022-03-17,Product D,81.15444455770175,5047.738429559524
2022-03-18,Product B,73.0629280921444,4691.821809801499
2022-03-19,Product A,74.23108130476851,5547.652193672434
2022-03-20,Product A,105.35692112065142,3422.1798414587324
2022-03-21,Product C,52.702931453423815,6128.726948073422
2022-03-22,Product B,62.298041779152825,4360.709224428446
2022-03-23,Product C,77.41568620657901,3787.603163946221
2022-03-24,Product B,47.283554998727105,4659.233990597329
2022-03-25,Product B,81.03104744529523,4243.027547491893
2022-03-26,Product B,75.7707212718054,2266.4759551290977
2022-03-27,Product A,62.96954613957007,2730.4097162494504
2022-03-28,Product D,97.71145873371309,7355.089553262275
2022-03-29,Product C,60.960148132841795,750.7528845702697
2022-03-30,Product D,96.865897874729,1963.7335118544854
2022-03-31,Product C,71.44322764607921,1030.6805857289946
2022-04-01,Product B,86.67782061659807,1036.5972362696466
2022-04-02,Product A,76.54420843301213,6439.911697946321
2022-04-03,Product D,97.37602662075201,6896.321516975752
2022-04-04,Product A,85.88123033877532,4736.68924594611
2022-04-05,Product C,73.12393775927507,1461.9197455293056
2022-04-06,Product A,59.67441812180379,3467.381858794758
2022-04-07,Product A,97.94452142378297,4949.515702227369
2022-04-08,Product D,45.79015519179737,1275.1985697868658
2022-04-09,Product B,76.89774856896413,3632.349732493865
2022-04-10,Product A,76.75400798645438,2589.2178693492165
2022-04-11,Product B,66.71124703431693,3803.4487588668867
2022-04-12,Product C,69.73976467832159,4899.305050878742
2022-04-13,Product A,62.012139221639444,715.8801831958398
